#,Code,Name,Native,Dir
68,ii,Sichuan Yi,ꆇꉙ / 四川彝语,ltr
69,ik,Inupiak,Iñupiak,ltr
70,io,Ido,Ido,ltr
71,is,Icelandic,Íslenska,ltr
72,it,Italian,Italiano,ltr
73,iu,Inuktitut,ᐃᓄᒃᑎᑐᑦ,ltr
74,ja,Japanese,日本語,ltr
75,jv,Javanese,Basa Jawa,ltr
76,ka,Georgian,ქართული,ltr
77,kg,Kongo,KiKongo,ltr
78,ki,Kikuyu,Gĩkũyũ,ltr
79,kj,Kuanyama,Kuanyama,ltr
80,kk,Kazakh,Қазақша,ltr
81,kl,Greenlandic,Kalaallisut,ltr
82,km,Cambodian,ភាសាខ្មែរ,ltr
83,kn,Kannada,ಕನ್ನಡ,ltr
84,ko,Korean,한국어,ltr
85,kr,Kanuri,Kanuri,ltr
86,ks,Kashmiri,कश्मीरी / كشميري,rtl
87,ku,Kurdish,Kurdî / كوردی,rtl
88,kv,Komi,Коми,ltr
89,kw,Cornish,Kernewek,ltr
90,ky,Kirghiz,Kırgızca / Кыргызча,ltr
91,la,Latin,Latina,ltr
92,lb,Luxembourgish,Lëtzebuergesch,ltr
93,lg,Ganda,Luganda,ltr
94,li,Limburgian,Limburgs,ltr
95,ln,Lingala,Lingála,ltr
96,lo,Laotian,ລາວ / Pha xa lao,ltr
97,lt,Lithuanian,Lietuvių,ltr
98,lv,Latvian,Latviešu,ltr
99,mg,Malagasy,Malagasy,ltr
100,mh,Marshallese,Kajin Majel / Ebon,ltr
101,mi,Maori,Māori,ltr
102,mk,Macedonian,Македонски,ltr
103,ml,Malayalam,മലയാളം,ltr
104,mn,Mongolian,Монгол,ltr
105,mo,Moldovan,Moldovenească,ltr
106,mr,Marathi,मराठी,ltr
107,ms,Malay,Bahasa Melayu,ltr
108,mt,Maltese,bil-Malti,ltr
109,my,Burmese,Myanmasa,ltr
110,na,Nauruan,Dorerin Naoero,ltr
111,nd,North Ndebele,Sindebele,ltr
112,ne,Nepali,नेपाली,ltr
113,ng,Ndonga,Oshiwambo,ltr
114,nl,Dutch,Nederlands,ltr
115,nn,Norwegian Nynorsk,Norsk (nynorsk),ltr
116,no,Norwegian,Norsk (bokmål / riksmål),ltr
117,nr,South Ndebele,isiNdebele,ltr
118,nv,Navajo,Diné bizaad,ltr
119,ny,Chichewa,Chi-Chewa,ltr
120,oc,Occitan,Occitan,ltr
121,oj,Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ / Anishinaabemowin,ltr
122,om,Oromo,Oromoo,ltr
123,or,Oriya,ଓଡ଼ିଆ,ltr
124,os,Ossetian / Ossetic,Иронау,ltr
125,pa,Panjabi / Punjabi,ਪੰਜਾਬੀ / पंजाबी / پنجابي,ltr
126,pi,Pali,Pāli / पाऴि,ltr
127,pl,Polish,Polski,ltr
128,ps,Pashto,پښتو,rtl
129,pt,Portuguese,Português,ltr
130,qu,Quechua,Runa Simi,ltr
131,rm,Raeto Romance,Rumantsch,ltr
132,rn,Kirundi,Kirundi,ltr
133,ro,Romanian,Română,ltr
134,ru,Russian,Русский,ltr
135,rw,Rwandi,Kinyarwandi,ltr
136,sa,Sanskrit,संस्कृतम्,ltr
137,sc,Sardinian,Sardu,ltr
138,sd,Sindhi,सिनधि,ltr
139,se,Northern Sami,Davvisámegiella,ltr
140,sg,Sango,Sängö,ltr
141,sh,Serbo-Croatian,Srpskohrvatski / Српскохрватски,ltr
142,si,Sinhalese,සිංහල,ltr
143,sk,Slovak,Slovenčina,ltr
144,sl,Slovenian,Slovenščina,ltr
145,sm,Samoan,Gagana Samoa,ltr
146,sn,Shona,chiShona,ltr
147,so,Somalia,Soomaaliga,ltr
148,sq,Albanian,Shqip,ltr
149,sr,Serbian,Српски,ltr
150,ss,Swati,SiSwati,ltr
151,st,Southern Sotho,Sesotho,ltr
152,su,Sundanese,Basa Sunda,ltr
153,sv,Swedish,Svenska,ltr
154,sw,Swahili,Kiswahili,ltr
155,ta,Tamil,தமிழ்,ltr
156,te,Telugu,తెలుగు,ltr
157,tg,Tajik,Тоҷикӣ,ltr
158,th,Thai,ไทย / Phasa Thai,ltr
159,ti,Tigrinya,ትግርኛ,ltr
160,tk,Turkmen,Туркмен / تركمن,ltr
161,tl,Tagalog,Tagalog,ltr
162,tn,Tswana,Setswana,ltr
163,to,Tonga,Lea Faka-Tonga,ltr
164,tr,Turkish,Türkçe,ltr
165,ts,Tsonga,Xitsonga,ltr
166,tt,Tatar,Tatarça,ltr
167,tw,Twi,Twi,ltr
168,ty,Tahitian,Reo Mā`ohi,ltr
169,ug,Uyghur,Uyƣurqə / ئۇيغۇرچە,ltr
170,uk,Ukrainian,Українська,ltr
171,ur,Urdu,اردو,rtl
172,uz,Uzbek,Ўзбек,ltr
173,ve,Venda,Tshivenḓa,ltr
174,vi,Vietnamese,Việtnam,ltr
175,vo,Volapük,Volapük,ltr
176,wa,Walloon,Walon,ltr
177,wo,Wolof,Wollof,ltr
178,xh,Xhosa,isiXhosa,ltr
179,yi,Yiddish,ייִדיש,rtl
180,yo,Yoruba,Yorùbá,ltr
181,za,Zhuang,Cuengh / Tôô / 壮语,ltr
182,zh,Chinese,中文,ltr
183,zu,Zulu,isiZulu,ltr
184,nb,Norwegian Bokmål,Norsk (bokmål),ltr
